"count";"username";"datetime";"text"
"1";"leilaaaaaaaaaa35";"18:33:41 10-01-2021";"بانک ملی بانک خانواده🌷"
"2";"arash_omarzadeh";"18:36:57 10-01-2021";"واقعا ادم لذت میره... عاااالی😍😍😍"
"3";"arash_omarzadeh";"18:37:03 10-01-2021";"@parisa_golpasandi"
"4";"arash_omarzadeh";"18:37:08 10-01-2021";"@soran.omid72"
"5";"ghafour_kzm";"18:40:35 10-01-2021";"@jalil_kazemy"
"6";"bm.mesgari";"18:40:45 10-01-2021";"عالیه 👌👌👌مبارررکه 🌹🌹🌹🎊🎊بانک ملی بانک اعتماد و ملی پلاس هم با رنگهای متنوع خصوصا صندلیهای سفید ابی در کنار قرمز خیلی خوب و دوست داشتنیه 👌👌👌"
"7";"mrs.sanaziiiiiii";"18:42:07 10-01-2021";"😍😍😍👍👍👍"
"8";"ghafour_kzm";"18:42:46 10-01-2021";"عالیه، واقعا آدم لذت میبره...🌹🌹🌹"
"9";"mehdikazemie";"18:46:42 10-01-2021";"👌👌👌❤️❤️❤️🌹😍"
"10";"hhh2020hosein";"18:47:23 10-01-2021";"@hosseinij.1357"
"11";"__mobina.h.r__";"18:49:11 10-01-2021";"@afra.parizi"
"12";"__mobina.h.r__";"18:51:14 10-01-2021";"خیلیم عاااالی😍😍"
"13";"__mobina.h.r__";"18:51:40 10-01-2021";"@zohrehamini4"
"14";"laila_farbod";"18:53:26 10-01-2021";"بانک ملی بانک اعتماد ملی پلاس"
"15";"milad_e86";"18:54:54 10-01-2021";"عالی.قسمت کتابخونش حرف نداره👌👌👌"
"16";"esmaeil_mohseni_rad";"18:55:06 10-01-2021";"خیلی خوبه ک ب این سمت میریم 💪"
"17";"mohammadhossin.atz";"19:02:27 10-01-2021";"من چند بار باید بابت یه کارت به شعبه بانک ملی مراجعه کنم تا کارتم درست بشه چرا اعصاب مردم رو خورد می کنید هر دفعه مشکل دارم با کارتم حالا خوبه میلیاردی تو کارتم پول نیست وگرنه .....😐😐😐😐"
"18";"mamadreza.chegeni1351";"19:04:41 10-01-2021";"❤️❤️❤️"
"19";"hosseinhosseinzad5";"19:08:57 10-01-2021";"بانک ملی عالی عالی حیف که ما تبریز هستیم نمی تونیم بریم😍😍😍😍😍💥🔥"
"20";"aliakbar.takhtehmehr";"19:12:19 10-01-2021";"زیباییش بینظیره"
"21";"hadi.vossoughi";"19:13:03 10-01-2021";"پیشرفت هرگز متوقف نمیشه.نگاه جدید در عرصه بانکداری با ورود سیبا بانک ملی آغاز شد و این نگاه برای رسیدن به افق های روشن تر با بانک ملی ادامه پیدا خواهد کرد👏"
"22";"hadi.vossoughi";"19:13:09 10-01-2021";"@hanie.vossoughi7"
"23";"hadi.vossoughi";"19:13:19 10-01-2021";"@mahiar4052"
"24";"hadi.vossoughi";"19:13:23 10-01-2021";"@ali_moayedinia"
"25";"banki1307";"19:13:23 10-01-2021";"🌺🌺🌺"
"26";"hadi.vossoughi";"19:13:46 10-01-2021";"@ayoub_ghaffari"
"27";"hadi.vossoughi";"19:14:16 10-01-2021";"@s.reza0341"
"28";"hadi.vossoughi";"19:15:00 10-01-2021";"@hamed.v.o"
"29";"hadi.vossoughi";"19:15:14 10-01-2021";"@masihavosoghi"
"30";"mra1986eco";"19:17:19 10-01-2021";"مبارکه همه پرسنل بانک ملی انشاالله این بستر با رشد فزاینده توسعه پیدا کنه"
"31";"amirali___n.h";"19:19:14 10-01-2021";"مبارک باشه ولی برای من نمایشگاه مبل تداعی شد حس حضور در بانک را تداشتم"
"32";"bahman_ahmadi.8308";"19:19:31 10-01-2021";"👏👏👏👏👏👏👏👏بسیار عالی"
"33";"yekta.s_1367";"19:20:03 10-01-2021";"بسیار عالی 🌹🌹🌹🌹🌹"
"34";"tooti__bala2020";"19:23:58 10-01-2021";"عالی🙌"
"35";"afsane_sd2";"19:24:25 10-01-2021";"👌👌👌👏"
"36";"solmaz.poorfahim";"19:24:45 10-01-2021";"عالیه مخصوصا قسمت کتابخانه اش حرف نداره 👌👌👌"
"37";"solmaz.poorfahim";"19:24:56 10-01-2021";"@ali.porfahim.137"
"38";"solmaz.poorfahim";"19:25:47 10-01-2021";"@nahid.k152"
"39";"sydmhmdrdkhwyn_313";"19:28:31 10-01-2021";"سلام. حس من در کنار انجام عملیات‌های بانکی احساس امنیت و آسایش و آرامش است💝🌹🙏"
"40";"samira.6.7.s";"19:33:19 10-01-2021";"خیلی زیبا و تحسین برانگیز"
"41";"samira.6.7.s";"19:33:39 10-01-2021";"@kimyana900"
"42";"msalehi105";"19:37:39 10-01-2021";"👌👌شعبه به روز و شیک"
"43";"irqmly";"19:37:42 10-01-2021";"بسیارغافلیگرانه وجالب بوددست همگی دردنکنه"
"44";"farokhi145gmail.com7039";"19:48:29 10-01-2021";"🌹🌹🌹درودها خسته نباشید .خدا قوت"
"45";"r.7201";"19:50:25 10-01-2021";"تكريم ارباب رجوع وارائه خدمات به مشتري اقدامي مثبت در جهت پيشبرد اهداف بانكي ميباشد كه ضمن تشكر از شما انشاالله اين موضوع در شعب سرتاسر ايران اسلامي معطوف گردد وشاهد خدمات نوين بانكي باشيم."
"46";"anvar_assadi1";"19:51:42 10-01-2021";"مبارک باشه هم دکور وکافی‌شاپ‌وکتابخانه درسال میلادی جدید با تکنولوژی 2021 اولین شعبه را در شهر تبریز بگذارید لطفا ممنون"
"47";"ndr8383";"19:52:54 10-01-2021";"واقعا لذت بخشه و باعث افتخار"
"48";"ndr8383";"19:53:46 10-01-2021";"@mohsen.a155"
"49";"ndr8383";"19:54:58 10-01-2021";"@_12majnoon_"
"50";"ndr8383";"19:55:59 10-01-2021";"@ja.vad666"
"51";"ndr8383";"19:57:16 10-01-2021";"@hosseinian.mn"
"52";"zohre.h9";"20:08:45 10-01-2021";"واقعا عالیه و منحصر به فرد"
"53";"zohre.h9";"20:09:04 10-01-2021";"@nh19.84"
"54";"zohre.h9";"20:09:08 10-01-2021";"@mjhosseininejad"
"55";"zohre.h9";"20:09:23 10-01-2021";"@hosseininejad.iut.81"
"56";"asghar.masoumi";"20:10:16 10-01-2021";"@z.firoz.noroz"
"57";"asghar.masoumi";"20:10:29 10-01-2021";"@mahshid.kh.1356"
"58";"zohre.h9";"20:11:21 10-01-2021";"حس خوبی داشت"
"59";"mostafa_khalkhali";"20:15:35 10-01-2021";"واقعا لوگوی ملی پلاس یکی از زیباترین لوگوهایی بوده که دیدم"
"60";"mostafa_khalkhali";"20:16:10 10-01-2021";"واقعا تیم روابط عمومی خسته نباشن این لوگوی ملی پلاس ماندگار میشه"
"61";"bankema";"20:20:03 10-01-2021";"@@masoud.khatouni"
"62";"bankema";"20:20:32 10-01-2021";"@hosseinbannaroodi"
"63";"bankema";"20:20:57 10-01-2021";"@bagheri2030"
"64";"bankema";"20:22:01 10-01-2021";"@parinazizadyar"
"65";"bankema";"20:22:22 10-01-2021";"@lotfi_hamid_"
"66";"ahmad_tavakoli_1981";"20:22:34 10-01-2021";"حسی زیبا بخاطر اینکه همه بانک در یک جا خلاصه شده بخش سخت افزاری، نرم افزاری، کتابخونه، اتاق شسته و رفته ، جایی برای کسب تجربه البته با حضور یک مافوق.بنظرم بیشترین موضوعی که ذهنم را درگیر کرده بخاطر هارمونی رنگهای اون فضا که حس آرامش بِهِم میداد.👌👏"
"67";"kakavand.t.v";"20:23:01 10-01-2021";"👌👌👌👌👌هرجاسخن از اعتماد وآرامش است نام بانک ملی ایران میدرخشد"
"68";"ahmad_tavakoli_1981";"20:23:19 10-01-2021";"@ fit_ with_ mahboub"
"69";"bh_rm5795";"20:24:38 10-01-2021";"واقعا خیلی خوب وزیباست البته از بانکی مثل بانک ملی که همیشه سرلوحه ی یک بانک مدرن وپیشرفته هستش چنین بانکی برمیاید بانک ملی همیشه مدرن همیشه پیشگام"
"70";"freshte.hmtn";"20:25:02 10-01-2021";"مبارک باشه هم کتابخونه هم کافی شاپ"
"71";"faraj.ebrahim";"20:30:20 10-01-2021";"سلام ابراهیم فرجی هستم. این نوع شعبه انگار منزل خود ما هست از پیشخوانش گرفته تا صندلی ها و میز و مبل راحتیش آدم احساس میکنه شعبه بانک برای خودش هست با این همه رنگ و تنوع و راحت بودن و احساس خودمانی مرسی از این اتفاق جدیدتون من یکی از استفاده کنندگان اپلیکیشن ایوا بانک ملی هستم که به جرات میگم توی این همه اپلیکیشن ها این از همه راحت تر و مدرن تره واقعا جدی میگم.باتشکر از این همه نوآوری و خدمات نوین و راحت و دلچسب بانک ملی. ۰۹۱۰۸۵۸۵۸۲۵"
"72";"tike.bazi";"20:33:12 10-01-2021";"عالی"
"73";"tike.bazi";"20:33:16 10-01-2021";"خیلی خوب"
"74";"tike.bazi";"20:33:23 10-01-2021";"بسیار زیبا"
"75";"tike.bazi";"20:35:43 10-01-2021";"مدیریتی استراتژیک در قله هایی بلند و ملموس از زیبایی های خدمات مبارک باشد"
"76";"tike.bazi";"20:36:16 10-01-2021";"@zahra.87_m"
"77";"alirezasamieev";"20:42:21 10-01-2021";"خیلی عالیست اما ای کاش از مظاهر قرهنگ ایرانی در طراحی ساستفاده می شد"
"78";"tayyebemousavi";"20:44:53 10-01-2021";"خیلی عالی👌👌"
"79";"samira.amerii";"20:47:13 10-01-2021";"بانک ملی بانک خانواده ... آقا من از دم در بانک رد شدم 😁"
"80";"marzieh6527";"20:47:56 10-01-2021";"آرامش نوآوری و تکنولوژی❤️"
"81";"mra1986eco";"20:52:39 10-01-2021";"@mahsakhandanbarany"
"82";"mehrab.6596";"20:53:33 10-01-2021";"بسیار عالی🌹"
"83";"iranpower110";"21:00:04 10-01-2021";"آینده در حال"
"84";"bminews";"21:00:28 10-01-2021";"طراحی زیبا، محیطی آرام بخش و اعتمادی ماندگار ❤️❤️❤️🌹👏👏👏"
